               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.015661,           0.0051392,           0.0014756,             0.99172,             0.99394,             0.99429,             0.88606,            0.011433,           0.0021289,          0.00015595,            0.003367,            0.003367,            0.003367
                  69,            0.015438,           0.0051102,           0.0014131,              0.9933,             0.99278,             0.99429,             0.88738,            0.011387,           0.0021206,          0.00015194,            0.003268,            0.003268,            0.003268
                  70,            0.015444,           0.0050999,           0.0014366,             0.99232,              0.9937,             0.99431,              0.8879,            0.011336,           0.0021122,          0.00014914,            0.003169,            0.003169,            0.003169
                  71,            0.015381,           0.0050913,           0.0014346,             0.99258,             0.99422,             0.99432,             0.88874,            0.011285,           0.0021037,          0.00014461,             0.00307,             0.00307,             0.00307
                  72,            0.015116,           0.0050223,           0.0012463,             0.99294,             0.99389,             0.99433,             0.88961,            0.011232,           0.0020959,          0.00014158,            0.002971,            0.002971,            0.002971
                  73,            0.015063,           0.0049979,           0.0013188,             0.99341,              0.9938,             0.99434,              0.8905,            0.011183,           0.0020888,          0.00014036,            0.002872,            0.002872,            0.002872
                  74,            0.014957,           0.0049743,           0.0012871,             0.99359,             0.99399,             0.99434,             0.89111,            0.011136,            0.002081,          0.00013874,            0.002773,            0.002773,            0.002773
                  75,            0.014772,           0.0049468,           0.0011964,             0.99392,             0.99394,             0.99435,             0.89164,            0.011093,           0.0020729,          0.00013675,            0.002674,            0.002674,            0.002674
                  76,            0.014715,           0.0048996,           0.0011716,              0.9936,             0.99423,             0.99435,              0.8922,            0.011054,           0.0020667,          0.00013386,            0.002575,            0.002575,            0.002575
                  77,            0.014608,           0.0049024,             0.00118,             0.99375,             0.99455,             0.99435,             0.89263,            0.011012,           0.0020589,          0.00013243,            0.002476,            0.002476,            0.002476
                  78,            0.014402,           0.0048372,           0.0011073,             0.99427,             0.99418,             0.99435,             0.89367,            0.010966,           0.0020512,          0.00013193,            0.002377,            0.002377,            0.002377
                  79,            0.014285,           0.0048014,           0.0010477,             0.99468,             0.99425,             0.99435,             0.89461,            0.010918,           0.0020441,          0.00013196,            0.002278,            0.002278,            0.002278
                  80,            0.014198,           0.0048064,           0.0010673,             0.99479,             0.99407,             0.99436,             0.89516,             0.01087,           0.0020365,          0.00013118,            0.002179,            0.002179,            0.002179
                  81,            0.014063,           0.0047407,          0.00099847,             0.99521,             0.99401,             0.99438,             0.89608,            0.010819,           0.0020283,           0.0001319,             0.00208,             0.00208,             0.00208
                  82,            0.013924,           0.0047252,           0.0010169,             0.99535,             0.99402,             0.99438,             0.89669,            0.010772,           0.0020201,          0.00012989,            0.001981,            0.001981,            0.001981
                  83,            0.013762,           0.0047018,          0.00094357,             0.99511,             0.99428,             0.99438,             0.89757,             0.01073,           0.0020117,          0.00012917,            0.001882,            0.001882,            0.001882
                  84,            0.013608,           0.0046382,          0.00086368,             0.99549,             0.99421,             0.99438,             0.89849,            0.010678,           0.0020029,          0.00012819,            0.001783,            0.001783,            0.001783
                  85,            0.013484,           0.0046163,          0.00089588,             0.99548,             0.99406,             0.99438,             0.89944,            0.010626,           0.0019945,          0.00012322,            0.001684,            0.001684,            0.001684
                  86,            0.013357,           0.0045723,           0.0008328,             0.99539,              0.9943,             0.99437,             0.90018,            0.010576,            0.001987,          0.00011774,            0.001585,            0.001585,            0.001585
                  87,            0.013199,           0.0045249,          0.00080057,             0.99554,             0.99425,             0.99438,             0.90109,            0.010526,            0.001979,          0.00011488,            0.001486,            0.001486,            0.001486
                  88,            0.013049,           0.0044966,          0.00078541,             0.99561,              0.9943,             0.99439,              0.9015,            0.010476,           0.0019703,          0.00011272,            0.001387,            0.001387,            0.001387
                  89,            0.012836,           0.0044382,          0.00074615,             0.99537,             0.99481,             0.99441,             0.90225,             0.01043,           0.0019626,          0.00011067,            0.001288,            0.001288,            0.001288
                  90,            0.012757,           0.0044447,          0.00073717,             0.99509,             0.99508,             0.99441,             0.90315,            0.010385,           0.0019545,          0.00010998,            0.001189,            0.001189,            0.001189
                  91,            0.012591,           0.0043786,           0.0006598,             0.99476,             0.99573,             0.99443,             0.90432,            0.010338,           0.0019463,          0.00011144,             0.00109,             0.00109,             0.00109
                  92,            0.012369,           0.0043304,          0.00063122,              0.9947,             0.99582,             0.99444,             0.90548,            0.010286,            0.001938,          0.00010994,            0.000991,            0.000991,            0.000991
                  93,            0.012236,           0.0042587,          0.00060465,             0.99527,             0.99543,             0.99445,             0.90663,            0.010229,           0.0019293,          0.00010582,            0.000892,            0.000892,            0.000892
                  94,            0.012039,           0.0042493,          0.00059096,             0.99545,             0.99523,             0.99448,             0.90755,            0.010182,           0.0019208,          0.00010152,            0.000793,            0.000793,            0.000793
                  95,            0.011854,           0.0041896,          0.00055256,             0.99447,             0.99617,             0.99448,             0.90832,            0.010137,           0.0019126,          9.8015e-05,            0.000694,            0.000694,            0.000694
                  96,            0.011693,           0.0041486,           0.0005156,             0.99562,             0.99511,              0.9945,             0.90944,            0.010084,           0.0019043,          9.4586e-05,            0.000595,            0.000595,            0.000595
                  97,            0.011488,           0.0041181,          0.00051367,             0.99556,             0.99515,             0.99451,             0.91097,            0.010034,           0.0018959,          9.2688e-05,            0.000496,            0.000496,            0.000496
                  98,            0.011334,           0.0040586,          0.00045262,             0.99551,             0.99565,             0.99452,             0.91178,             0.00999,           0.0018883,          8.9533e-05,            0.000397,            0.000397,            0.000397
                  99,            0.011118,           0.0040286,          0.00042419,              0.9955,             0.99569,             0.99453,             0.91245,           0.0099517,           0.0018814,          8.6196e-05,            0.000298,            0.000298,            0.000298
